RefDes,Value,Name,Pattern,Manufacturer,Quantity,Datasheet
3.3V,3.3V,BA033CC0FP-E2,TO252-3(4)/10x6.6x2.28,ROHM,1,
3pin5mm1,BT1,1935174,3pin5mm,Phoenix Contact,1,
3pin5mm2,BT2,1935174,3pin5mm,Phoenix Contact,1,
3pin9.52mm1,,ESPM03200,3pin9.52mm,Amphenol Pcd,1,
3pin9.52mm2,,ESPM03200,3pin9.52mm,Amphenol Pcd,1,
3pin9.52mm3,,ESPM03200,3pin9.52mm,Amphenol Pcd,1,
3pin9.52mm4,,ESPM03200,3pin9.52mm,Amphenol Pcd,1,
3pin9.52mm5,,ESPM03200,3pin9.52mm,Amphenol Pcd,1,
3pin9.52mm6,,ESPM03200,3pin9.52mm,Amphenol Pcd,1,
3pin9.52mm7,,ESPM03200,3pin9.52mm,Amphenol Pcd,1,
3pin9.52mm8,,ESPM03200,3pin9.52mm,Amphenol Pcd,1,
F1,,FUSE F1206A2R00FWTR\500,RES_1206,AVX,1,
J1,,PJ-002AH,PJ-002A,CUI,1,
J2,,87758-02,HDR-2x1T/2x2/2x4,Molex,1,
J3,,87758-02,HDR-2x1T/2x2/2x4,Molex,1,
J4,,87758-02,HDR-2x1T/2x2/2x4,Molex,1,
J5,,87758-02,HDR-2x1T/2x2/2x4,Molex,1,
K1,,G5LE-14-DC5,G5LE,Omron,1,
K2,,G5LE-14-DC5,G5LE,Omron,1,
K3,,G5LE-14-DC5,G5LE,Omron,1,
K4,,G5LE-14-DC5,G5LE,Omron,1,
K5,,G5LE-14-DC5,G5LE,Omron,1,
K6,,G5LE-14-DC5,G5LE,Omron,1,
K7,,G5LE-14-DC5,G5LE,Omron,1,
K8,,G5LE-14-DC5,G5LE,Omron,1,
OC1,,VO617A,DIP-4,Vishay Semiconductors,1,http://www.vishay.com/doc?83666
OC2,,VO617A,DIP-4,Vishay Semiconductors,1,http://www.vishay.com/doc?83666
OC3,,VO617A,DIP-4,Vishay Semiconductors,1,http://www.vishay.com/doc?83666
OC4,,VO617A,DIP-4,Vishay Semiconductors,1,http://www.vishay.com/doc?83666
OC5,,VO617A,DIP-4,Vishay Semiconductors,1,http://www.vishay.com/doc?83666
OC6,,VO617A,DIP-4,Vishay Semiconductors,1,http://www.vishay.com/doc?83666
OC7,,VO617A,DIP-4,Vishay Semiconductors,1,http://www.vishay.com/doc?83666
OC8,,VO617A,DIP-4,Vishay Semiconductors,1,http://www.vishay.com/doc?83666
RJ-1,,RJE01-660-01,RJE01-660-01,Amphenol,1,
RJ-2,,RJE01-660-01,RJE01-660-01,Amphenol,1,
ShroudedHeader,,61202621621,Copy_of_shroudedheader26,Wurth Electronics,1,
U1,,MMBD4148,MMBD4148,Fairchild,1,
U2,,MMBD4148,MMBD4148,Fairchild,1,
U3,,MMBD4148,MMBD4148,Fairchild,1,
U4,,MMBD4148,MMBD4148,Fairchild,1,
U5,,MMBD4148,MMBD4148,Fairchild,1,
U6,,MMBD4148,MMBD4148,Fairchild,1,
U7,,MMBD4148,MMBD4148,Fairchild,1,
U8,,MMBD4148,MMBD4148,Fairchild,1,
U9,,DS2482S-100,SOIC-8/150mil,Maxim,1,http://datasheets.maxim-ic.com/en/ds/DS2482-100.pdf
U11,,OKI-78SR-5/1.5-W36H-C,OKI-78SR-5/1.5-W36H-C,Murata,1,
,,,,,,
,,,,,,
C1,4.7uF,CAP_0805,CAP_0805,,1,
C2,4.7uF,CAP_0805,CAP_0805,,1,
C3,0.1uF,CAP_0805,CAP_0805,,1,
C4,4.7uF,CAP_0805,CAP_0805,,1,
D1,1N4001,DIODE,DO-35,,1,
LED1,,DIODE_0805,DIO_0805,,1,
LED2,,DIODE_0805,DIO_0805,,1,
LED3,,DIODE_0805,DIO_0805,,1,
LED4,,DIODE_0805,DIO_0805,,1,
LED5,,DIODE_0805,DIO_0805,,1,
LED6,,DIODE_0805,DIO_0805,,1,
LED7,,DIODE_0805,DIO_0805,,1,
LED8,,DIODE_0805,DIO_0805,,1,
Q1,,2N2222,TO-18,,1,
Q2,,2N2222,TO-18,,1,
Q3,,2N2222,TO-18,,1,
Q4,,2N2222,TO-18,,1,
Q5,,2N2222,TO-18,,1,
Q6,,2N2222,TO-18,,1,
Q7,,2N2222,TO-18,,1,
Q8,,2N2222,TO-18,,1,
R1,Rup,RES_0805,RES_0805,,1,
R2,Rup,RES_0805,RES_0805,,1,
R3,390,RES_0805,RES_0805,,1,
R4,180,RES_0805,RES_0805,,1,
R5,390,RES_0805,RES_0805,,1,
R6,180,RES_0805,RES_0805,,1,
R7,390,RES_0805,RES_0805,,1,
R8,180,RES_0805,RES_0805,,1,
R9,390,RES_0805,RES_0805,,1,
R10,180,RES_0805,RES_0805,,1,
R11,390,RES_0805,RES_0805,,1,
R12,180,RES_0805,RES_0805,,1,
R13,390,RES_0805,RES_0805,,1,
R14,180,RES_0805,RES_0805,,1,
R15,390,RES_0805,RES_0805,,1,
R16,180,RES_0805,RES_0805,,1,
R17,390,RES_0805,RES_0805,,1,
R18,180,RES_0805,RES_0805,,1,
